GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
4847892,"Mesquite city, Texas",141201,138,50525,1891,0.3902,0.0116,16443,1177,24046,1247,29027,1332,10583,855,4874,625,84973,1295,144250,124,56074,1923,0.392,0.0089,17228,978,25793,1013,28325,1350,10753,746,4937,545,87036,1241,54467.289389785
4874492,"University Park city, Texas",23460,21,173520,12301,0.5061,0.0181,66,55,481,134,1412,254,5532,333,4518,343,12009,371,24954,30,214477,16765,0.511,0.017,44,33,498,174,1195,204,6353,407,5568,387,13658,377,187059.159919159
4877620,"Westlake town, Texas",1072,287,233750,85316,0.5254,0.0568,13,13,46,29,160,61,203,50,212,85,634,136,974,165,250001,,0.4871,0.0452,9,11,56,31,118,38,213,60,203,51,599,99,251988.696583122
4861604,"Reno city (Parker and Tarrant Counties), Texas",2523,20,57656,13589,0.3824,0.0497,220,81,545,147,685,125,148,71,44,28,1642,150,2811,51,53483,3462,0.4407,0.0556,344,90,778,141,582,121,120,51,76,41,1900,160,62154.6964286481
4873710,"Trophy Club town, Texas",9037,255,124593,3877,0.3611,0.0492,65,64,542,138,1419,253,2445,322,1453,291,5924,271,11790,135,142483,12790,0.3541,0.0348,204,120,638,203,2028,315,3245,340,1675,284,7790,286,134314.556891469
4857476,"Pilot Point city, Texas",3922,22,44895,15622,0.3856,0.0696,798,252,585,200,771,208,392,170,114,90,2660,278,4292,15,49928,15062,0.3343,0.0443,451,300,781,211,1082,264,267,139,94,95,2675,303,48398.0001416011
4862504,"Roanoke city, Texas",6252,21,62317,3846,0.3261,0.0342,116,93,757,249,1963,326,1022,239,326,135,4184,253,7899,40,88958,22487,0.4234,0.0526,457,211,1532,362,1329,227,1389,270,589,153,5296,271,67179.3779891782
4852212,"Northlake town, Texas",2213,397,62337,6133,0.3669,0.0487,44,39,215,83,483,126,444,116,127,59,1313,211,2524,22,81289,9051,0.3855,0.0294,32,25,296,106,521,99,576,108,174,65,1599,128,67200.9385193672
4858664,"Ponder town, Texas",1485,373,77105,16773,0.3258,0.0518,107,108,253,89,417,132,108,37,45,26,930,241,1973,358,75385,14943,0.3556,0.0481,145,80,416,139,433,103,177,57,134,61,1305,243,83121.2340108733
4850772,"Newark city, Texas",1275,333,56630,13614,0.4601,0.0935,116,58,260,78,317,89,98,51,29,16,820,164,1326,238,45139,9875,0.4098,0.0441,237,92,251,63,246,58,77,32,8,7,819,139,61048.6412299559
4864220,"St. Paul town, Texas",1351,328,91429,14173,0.3026,0.0479,87,53,133,45,302,114,222,76,63,31,807,198,1017,227,110125,13158,0.4468,0.1091,53,28,154,61,191,61,193,54,74,37,665,145,98562.8857321851
4810192,"Briar CDP, Texas",5109,731,41597,7674,0.5288,0.1123,849,316,1188,280,1298,288,564,229,157,95,4056,641,4685,715,61729,6169,0.4155,0.0451,441,160,1285,256,1220,258,550,182,130,68,3626,437,44842.6687134465
4810336,"Bristol CDP, Texas",220,124,47917,58436,0.2304,0.0677,29,32,36,42,46,51,67,43,0,13,178,102,484,196,95163,45673,0.3036,0.1339,79,69,259,163,46,56,49,44,11,17,444,184,51655.7962531485
4823356,"Elmo CDP, Texas",605,486,65625,51405,0.3107,0.14,52,61,222,183,70,76,27,32,14,30,385,251,1351,578,54605,31383,0.313,0.0835,190,98,603,277,114,87,13,22,0,13,920,331,70745.4896824273
4841404,"Lantana CDP, Texas",7809,507,137295,14485,0.309,0.0347,112,79,499,158,1246,277,2085,266,761,189,4703,233,9536,593,142112,11227,0.3244,0.0338,232,123,646,276,1296,239,2361,340,1303,290,5838,437,148007.649614459
4854868,"Paloma Creek CDP, Texas",3181,537,69792,12051,0.3274,0.1054,76,78,329,95,867,278,298,149,85,68,1655,282,3340,890,91116,12880,0.318,0.0732,76,110,361,191,801,227,578,205,105,75,1921,391,75237.6261472909
4854872,"Paloma Creek South CDP, Texas",3771,870,108988,40092,0.2765,0.0629,14,18,275,145,1187,336,482,195,291,186,2249,480,6624,1052,106178,14697,0.3287,0.0533,222,156,583,237,1565,343,1429,354,815,261,4614,635,117491.953211556
4856462,"Pecan Acres CDP, Texas",5051,922,93423,18436,0.3818,0.055,202,108,1032,286,764,204,517,157,319,153,2834,452,5670,728,107813,25977,0.5135,0.055,329,114,743,148,1068,197,931,287,318,129,3389,378,100712.470592021
4856498,"Pecan Plantation CDP, Texas",5288,390,87635,11030,0.3594,0.0458,410,267,858,245,1553,266,949,196,838,212,4608,341,5987,541,81758,14522,0.4072,0.0422,120,74,903,242,1925,303,1083,236,884,239,4915,284,94472.853155345
4861568,"Rendon CDP, Texas",13700,1190,66128,8754,0.4179,0.0309,1202,358,2591,452,3073,422,1284,292,643,184,8793,743,13616,1099,82969,14112,0.4659,0.0278,1010,337,2619,472,2617,426,1900,392,1175,360,9321,689,71287.7370166789
4866000,"Savannah CDP, Texas",3590,945,86513,13398,0.3005,0.0565,117,100,285,116,866,262,681,251,161,92,2110,445,6224,547,98800,11986,0.2778,0.0382,60,70,730,205,1158,315,1344,252,440,161,3732,371,93263.307411746
4873562,"Travis Ranch CDP, Texas",2796,447,89602,14626,0.2405,0.0384,140,95,344,126,586,182,448,103,154,80,1672,268,3508,581,101993,12624,0.2831,0.1094,194,117,388,143,541,178,507,161,431,153,2061,302,96593.3312994263
4877680,"Westminster CDP, Texas",741,325,37756,20138,0.4463,0.1257,237,198,129,93,124,92,66,68,9,15,565,278,787,238,,,0.5126,0.1554,44,36,208,107,189,115,70,72,0,13,511,146,40701.9688906625
